CGS	;CGS
Hunan Natural Science Foundation Hunan	;Hunan Natural Science Foundation Hunan
European Social Fund within the project	;European Social Fund within the project
FAPEMIG/INRIA	;FAPEMIG/INRIA project DMKM
DIU	;DIU
FACEPE	;FACEPE
Public Services Department of Malaysian Government	;Public Services Department of Malaysian Government
USM	;Universiti Sains Malaysia  USM;Universiti Sains Malaysia  USM  under Postgraduate Research Grant Scheme  USM-RU-PRGS;Universiti Sains Malaysia under the USM Fellowship Scheme;USM;USM Hajj Research
European Commission under the Easyline+ project	;European Commission under the Easyline+ project
Universiti Kebangsaan Malaysia	;Universiti Kebangsaan Malaysia
FCT	;FCT;FCT - Fundacao para a Ciencia e Tecnologia;FCT - Portuguese Science and Technology Foundation;FCT  Foundation for Science and Technology;FCT  Foundation of Science and Technology Portugal;FCT  INESC-ID  through the PIDDAC;FCT  Science & Technology Foundation  Portugal;FCT  Science &Technology Foundation  Portugal;FCT  The Portuguese Foundation for Science and Technology;FCT  through the CISTER/IPP-HURRAY research unit;Foundation for Science and Technology  FCT;Foundation for Science and Technology  FCT Portugal;Fundacao para a Ciencia e Tecnologia  FCT;Fundacao para a Ciencia e Tecnologia  FCT  with PhD scholarship;Fundacao para a Ciencia e Tecnologia  FCT  in Portugal;Fundacao para a Ciencia e Tecnologia  FCT  Portugal;national funds  FCT - Portuguese Foundation for Science and Technology;National Funds through FCT;National Funds through FCT - Foundation for Science and Technology;Portuguese FCT - ACORD - Adaptative Coordination of Robotic Teams;Portuguese Foundation for Science and Technology  FCT;Portuguese Foundation for Science and Technology  FCT  in the aims of Ciencia program for the hiring of Post-PhD researchers;Portuguese Funds through the FCT  Portuguese Foundation for Science and Technology;Portuguese Science and Research Foundation FCT  Fundacao para a Ciencia e a Tecnologia;Science and Technology Foundation Ministry of Education and Science  FCT  in Portugal;Technology and Science Foundation  FCT
the Fundamental Research Funds for the Central Universities	;the Fundamental Research Funds for the Central Universities
Ministerio de Ciencia e Innovacion Spain	;Ministerio de Ciencia e Innovacion Spain
Spanish Ministry of Science and Education	;Spanish Ministry of Science and Education
College of Engineering Research Center	;College of Engineering Research Center
Ministerio de Ciencia e Innovacion	;Ministerio de Ciencia e Innovacion
Breast Cancer Research Foundation	;Breast Cancer Research Foundation
NURI	;National Geospatial-Intelligence Agency NURI;National Geospatial-Intelligence Agency University Research Initiative  NURI;US National Geospatial-Intelligence Agency NURI
College Natural Science Foundation of Jiangsu Province in China	;College Natural Science Foundation of Jiangsu Province in China
ARENA	;ARENA Australian Renewable Energy Agency
Autonomous Government of La Rioja	;Autonomous Government of La Rioja
DIRHA	;DIRHA grant
Architecture and Building Research Institute  Taiwan	;Architecture and Building Research Institute  Taiwan
National Science and Engineering Research Council	;National Science and Engineering Research Council
Portuguese Foundation for Science and Technology	;Portuguese Foundation for Science and Technology
Research Grant Council of the Hong Kong Special Administrative Region	;Research Grant Council of the Hong Kong Special Administrative Region
Instituto de Biotecnologia Universidad National de Colombia	;Instituto de Biotecnologia Universidad National de Colombia
ISF	;Israel Science Foundation  ISF
Information Systems Department	;Information Systems Department
Foundation for University Key Teacher by the Beijing Education Commission	;Foundation for University Key Teacher by the Beijing Education Commission
Graduate School on Software Systems and Engineering  SoSE	;Graduate School on Software Systems and Engineering  SoSE
ClearView Diagnostics Inc	;ClearView Diagnostics Inc
University of Kentucky through a Lutes Excellence in Teaching Award	;University of Kentucky through a Lutes Excellence in Teaching Award
Human Resource Training Project for Regional Innovation	;Human Resource Training Project for Regional Innovation
U S  Army Research Laboratory	;U S  Army Research Laboratory
School of Electrical and Electronic Engineering at The University of Adelaide	;School of Electrical and Electronic Engineering at The University of Adelaide
Islamic Azad University Kermanshah Branch	;Islamic Azad University Kermanshah Branch
Brazilian National Research Council  CNPq	;Brazilian National Research Council  CNPq
Ministry of Higher Education and Scientific Research in Algeria	;Ministry of Higher Education and Scientific Research in Algeria
Underwater Research Center Shenyang Institute of Automation the Chinese Academy of Sciences	;Underwater Research Center Shenyang Institute of Automation the Chinese Academy of Sciences
MRC	;MRC
FRIA	;Fonds pour la formation a la Recherche dans l'Industrie et dans l'Agriculture  FRIA
King Fahd University of Petroleum and Minerals	;King Fahd University of Petroleum and Minerals
Lisa Moore	;Lisa Moore
BrazilianResearchCouncil  CNPq	;BrazilianResearchCouncil  CNPq
AMP	;Research AMP
International Institute for Advanced Studies	;International Institute for Advanced Studies
Banco Sabadell Foundation	;Banco Sabadell Foundation
SANCRE	;Pays de la Loire and Poitou-Charentes Regional Council under SANCRE
PAPD	;Priority Academic Program Development of Jiangsu Higher Education Institutions  PAPD
PIBIC	;PIBIC
MADIS	;MADIS of the Chinese Academy of Sciences
UWI	;UWI
Engineering and Physical Sciences Research Council	;Engineering and Physical Sciences Research Council
Baidu Fellowship	;Baidu Fellowship
National Natural Science Foundation of China under Grant	;National Natural Science Foundation of China under Grant
INRA	;INRA
University of Jaen	;University of Jaen
EDIC	;EDIC Seed Fund of the Faculty of Engineering National University of Singapore
Embry-Riddle Aeronautical University	;Embry-Riddle Aeronautical University
Research Center of the Female Scientific and Medical Colleges Deanship of Scientific Research King Saud University	;Research Center of the Female Scientific and Medical Colleges Deanship of Scientific Research King Saud University
Ministry of Knowledge Economy	;Ministry of Knowledge Economy
CUTE	;CUTE Project
grant  prime speciale pour la modernisation de la recherche pour le compte de  from the Ministry of Higher Education of Cameroon	;grant  prime speciale pour la modernisation de la recherche pour le compte de  from the Ministry of Higher Education of Cameroon
EGIDE/DAAD-PROCOPE	;EGIDE/DAAD-PROCOPE
KSI	;Dutch Knowledge Network on System Innovations and Transitions  KSI
CiCYT	;CiCYT
National Natural Science FundMOST China	;National Natural Science FundMOST China
Bogazici University	;Bogazici University
USMC	;USMC PM TRASYS
Government of Spain	;Government of Spain
Fresenius Medical Care	;Fresenius Medical Care
Austrian Federal Ministry of Transport Innovation and Technology	;Austrian Federal Ministry of Transport Innovation and Technology
CAM	;CAM project SEGVAUTO-II
IHTSDO	;IHTSDO
Royal Academy of Engineering	;Royal Academy of Engineering
Major State Basic Research Development Program	;Major State Basic Research Development Program
Health Research Board Ireland	;Health Research Board Ireland
Ministry of Education Malaysia	;Ministry of Education Malaysia
Science and Technology Development Project of Harbin Science and Technology Bureau	;Science and Technology Development Project of Harbin Science and Technology Bureau
G  Harold and Leila Y  Mathers Charitable Foundation	;G  Harold and Leila Y  Mathers Charitable Foundation
A*Star Singapore	;A*Star Singapore
Clamping fixtures in intelligent production systems	;Clamping fixtures in intelligent production systems
Institute of Education Sciences within the US Department of Education	;Institute of Education Sciences within the US Department of Education
MITACS-NCE	;MITACS-NCE Research Project
NLM/NIDCR	;NLM/NIDCR Pittsburgh Biomedical Informatics Training Program
FORSEC	;Bavarian State Ministry of Education Science and the Arts FORSEC research association
Service Outsourcing Foundation of Suzhou Institute Park Service Outsourcing Institute	;Service Outsourcing Foundation of Suzhou Institute Park Service Outsourcing Institute
JRB	;JRB
Qatar Telecom  Qtel  Doha Qatar	;Qatar Telecom  Qtel  Doha Qatar
Austrian Federal Ministry for Education Science and Culture	;Austrian Federal Ministry for Education Science and Culture
Spanish 'Ministerio de Educacion'	;Spanish 'Ministerio de Educacion'
Selcuk University Unit of Scientific Research Projects Coordination	;Selcuk University Unit of Scientific Research Projects Coordination
Miami University Armstrong Institute	;Miami University Armstrong Institute
Q-Free Traffic Design Ltd  Slovenia	;Q-Free Traffic Design Ltd  Slovenia
Spanish Ministry of Science and Technology	;Spanish Ministry of Science and Technology
-MICIN	;Ministry of Science and Innovation  Ministerio de Ciencia e Innovacion -MICIN
Universiti Technologi Petronas  Perak Malaysia	;Universiti Technologi Petronas  Perak Malaysia
Engineering and Physical Sciences Research Council UK	;Engineering and Physical Sciences Research Council UK
Castilla La Mancha Government	;Castilla La Mancha Government
Kocaeli University within the framework of the Scientific Research Projects Unit	;Kocaeli University within the framework of the Scientific Research Projects Unit
state of Rhode Island Division of Planning Office of Housing and Community Development	;state of Rhode Island Division of Planning Office of Housing and Community Development
Junta de Castilla y Leon's project	;Junta de Castilla y Leon's project
SIMAT	;SIMAT
Junta de Andalucia  Andalusian Regional Council  Spain	;Junta de Andalucia  Andalusian Regional Council  Spain
NRP	;National Research Program  NRP
Cornell University	;Cornell University
Microsoft Research New Faculty Fellowship	;Microsoft Research New Faculty Fellowship
Wellcome Trust	;Wellcome Trust
