111 Project	111 Project;
Gold Coast City Council	Gold Coast City Council;
Gonzalez Soriano	Gonzalez Soriano;
Google	Google Inter-university center for Electronic Markets and Auctions;Google Inc;Google Focused Research Award;Google;
Gottlieb Daimler- and Karl Benz-Foundation	Gottlieb Daimler- and Karl Benz-Foundation;
Government of Andalusia	Government of Andalusia;
Government of Spain	Government of Spain;
Government of St  Petersburg	Government of St  Petersburg;
Government of the Principality of Asturias	Government of the Principality of Asturias through Severo Ochoa program;Government of the Principality of Asturias;
government of the Republic of Panama	government of the Republic of Panama;
Graduate Research and the Ford Foundation Pre-Doctoral	Graduate Research and the Ford Foundation Pre-Doctoral;
Graduate Research Fellowship	Graduate Research Fellowship;
Graduate School of National University of Defense Technology	Graduate School of National University of Defense Technology;
Graduate School of Natural and Applied Sciences at the Middle East Technical University Turkey	Graduate School on Software Systems and Engineering  SoSE;Graduate School of Natural and Applied Sciences at the Middle East Technical University Turkey;
Graduate Student Innovation Practice Foundation of Beihang University in China	Graduate Student Innovation Practice Foundation of Beihang University in China;
Graduate University of Advanced Technology	Graduate University of Advanced Technology;
grant  prime speciale pour la modernisation de la recherche pour le compte de  from the Ministry of Higher Education of Cameroon	grant  prime speciale pour la modernisation de la recherche pour le compte de  from the Ministry of Higher Education of Cameroon;
Grant Agency of Excellence University of Hradec Kralove Faculty of Informatics and Management	Grant Agency of Excellence University of Hradec Kralove Faculty of Informatics and Management;
Grant Agency of Ministry of Education	Grant Agency of Ministry of Education and Academy Science of Slovak Republic;Grant Agency of Ministry of Education;
Grant Agency of the Czech Republic	Grant Agency of the Czech Republic;
Grant Agency of the Czech Technical University in Prague	Grant Agency of the Czech Technical University in Prague;
Grant BK-UiUA	Grant BK-UiUA;
Grant schemes of MS SR	Grant schemes of MS SR;
Generalitat de Catalunya  GRC MCIA	Generalitat de Catalunya  GRC MCIA;
Greek Government under the framework of the Education and Initial Vocational Training Program - 'Archimedes'	Greek Government under the framework of the Education and Initial Vocational Training Program - 'Archimedes';
Greek Ministry of Development-GSRT	Greek Ministry of Development-GSRT;
Greek National Funds through the Operational Program  Education	Greek National Funds through the Operational Program  Education;
GRF	GRF;
GTI	GTI;
Guangdong Innovative Research Team Program Guangdong China	Guangdong Innovative Research Team Program Guangdong China;
Guangdong University of Petrochemical Technology's Internal Project	Guangdong University of Petrochemical Technology's Internal Project;
Guangxi Education Department	Guangxi Education Department;
Guangxi Science Foundation	Guangxi Science Foundation;
Gulf Coast Research Center for Evacuation and Transportation Resiliency	Gulf Coast Research Center for Evacuation and Transportation Resiliency;
Universiti Teknologi Malaysia through Research University Grant  GUP	Universiti Teknologi Malaysia through Research University Grant  GUP;
H2020 DREAM-GO Project  Marie Sklodowska-Curie	H2020 for the project Big-DataEurope;H2020 DREAM-GO Project  Marie Sklodowska-Curie;
Hanson Formpave part of the Heidelberg Cement Group	Hanson Formpave part of the Heidelberg Cement Group;
Hanyang University	Hanyang University;
Harbin Institute of Technology Harbin China	Harbin Institute of Technology Harbin China;
Health Care Place & Technology  HCTP	Health Care Place & Technology  HCTP;
Headquarters of University Advancement at the National Cheng Kung University	Health Informatics Centre and Strategic Research Programme in Care Sciences at Karolinska Institutet in Sweden;Headquarters of University Advancement at the National Cheng Kung University;
Health Research Board Ireland	Health Research Board Ireland;
Health Resources and Services Administration	Health Resources and Services Administration;
Higher Education Commission  HEC  Pakistan under the NRPU programme	Higher Education Commission  HEC  Pakistan under the NRPU programme;
Hefei University of Technology	Hefei University of Technology;
Heilongjiang Provincial Department of Education	Heilongjiang Provincial Department of Education;
Hellenic Ministry of Culture	Hellenic Ministry of Culture;
Helmholtz Zentrum Berlin	Helmholtz Zentrum Berlin;
Hercules Foundation	Hercules Foundation;
HERMES-SMART DRIVER project within the Spanish  Plan Nacional de I+D+I  under the Spanish Ministerio de Economia y Competitividad	HERMES-SMART DRIVER project within the Spanish  Plan Nacional de I+D+I  under the Spanish Ministerio de Economia y Competitividad;HERMES-SMART DRIVER Project within the Spanish  Plan Nacional de I+D+I  - Spanish Ministerio de Economia y Competitividad;
Hertie-Stiftung	Hertie-Stiftung;
HFSP	HFSP;
HHS \ National Institutes of Health  NIH	HHS \ National Institutes of Health  NIH;
High Performance Computing and Communications office	High Performance Computing and Communications Office of the National Oceanic and Atmospheric Administration;High Performance Computing and Communications office;
High Performance Computing Lab	High Performance Computing Lab;
Higher Council for Science and Technology of Jordan	Higher Education;Higher Council for Science and Technology of Jordan;
Higher Education Center of Excellence Research Grant - Indonesian Ministry of Research Technology and Higher Education	Higher Education Center of Excellence Research Grant - Indonesian Ministry of Research Technology and Higher Education;
Higher Education Commission Islamabad	Higher Education Commission Islamabad;
Higher Education Commission of Pakistan	Higher Education Commission of Pakistan under indigenous PhD scholarship programme;Higher Education Commission of Pakistan;
Higher Education Commission Pakistan	Higher Education Commission Pakistan;
Higher Education Funding Council for England	Higher Education Funding Council for England;
Higher Education Research Promotion and National Research University Project of Thailand Office of Higher Education Commission	Higher Education Research Promotion and National Research University Project of Thailand Office of Higher Education Commission;
Higher school in Jiangsu province college students	High-Tech Research and Development  863  Programme  Demonstration of Emergency Technologies for Great Affairs of Environmental Pollution in Megapolis;Higher school in Jiangsu province college students;
High-Tech Research Center Project from Ministry of Education Culture Sports Science and Technology of Japan	High-Tech Research Center Project from Ministry of Education Culture Sports Science and Technology of Japan;
high impact research  HIR  from the Ministry of Higher Education Malaysia	high impact research  HIR  from the Ministry of Higher Education Malaysia;
University of Malaya HIR-MOHE	Hi-Tech Research and Development Program of China;Hi-Tech Research and Development  863  Program of China;University of Malaya HIR-MOHE;
HL7	HL7;
HMV Ingenieros Ltda Colombia	HMV Ingenieros Ltda Colombia;
Hong Kong government	Hong Kong Polytechnic University;Hong Kong government;
Hong Kong Polytechnic University Internal Competitive Research	Hong Kong Polytechnic University Internal Competitive Research;
Hong Kong Polytechnic University Research	Hong Kong Polytechnic University Research Grant;Hong Kong Polytechnic University Research;
Hong Kong Scholars Program Mainland-Hong Kong Joint Postdoctoral Fellows Program	Hong Kong Scholars Program Mainland-Hong Kong Joint Postdoctoral Fellows Program;
HRI Team WorkStudy  HRITWS  at Bristol Robotics Laboratory	HRI Team WorkStudy  HRITWS  at Bristol Robotics Laboratory;
HTWG  University of Applied Sciences -Konstanz in Germany	HTWG  University of Applied Sciences -Konstanz in Germany;
Hu-Jiang Fund	Hu-Jiang Fund;
Human Health Center for Marine Genomics at Hollings Marine Laboratory	Human Health Center for Marine Genomics at Hollings Marine Laboratory;
Human Resource Training Project for Regional Innovation	Human Resource Training Project for Regional Innovation;
Humanities and Social Sciences Foundation of the Ministry of Education in China	Humanities and Social Sciences Foundation of the Ministry of Education in China;
Humanities Institute	Humanities Institute;
Humboldt research fellowship for postdoctoral researchers program	Humboldt research fellowship for postdoctoral researchers program;
Hunan Natural Science Foundation	Hundred-talent Project of the Chinese Academy of Sciences;Hunan Natural Science Foundation Hunan;Hunan Natural Science Foundation;
Hungarian Focal Point	Hungarian Focal Point;
Hungarian Scientific Research Fund	HUNOROB a grant from Iceland Liechtenstein and Norway through the EEA Financial Mechanism and the Hungarian Focal Point;Hungarian Scientific Research Fund;
Hutton Honors College Summer Research Grant	Hutton Honors College Summer Research Grant;
Plan Regional-Programas I+D of Comunidad de Madrid	Ministerio de Ciencia y Tecnologia I+D+I;Autonomous Government of La Rioja under its 3er Plan Riojano de I+D+I via project FOMENTA;Plan Regional-Programas I+D of Comunidad de Madrid;
Plan I2C	Plan I2C;
IAEA in PRC	IAEA in PRC;
Intelligence Advanced Research Projects Activity  IARPA  through US army	Intelligence Advanced Research Projects Activity  IARPA  through US army;Intelligence Advanced Research Projects Activity  IARPA;Intelligence Advanced Research Projects Activity   IARPA;
Research Department of the IAU South Tehran Branch Tehran Iran	Research Department of the IAU South Tehran Branch Tehran Iran;Islamic Azad University  IAU  South Tehran Branch Tehran Iran;Islamic Azad University  IAU  South Tehran Branch;IAU;
Iberdrola Foundation	Iberdrola Foundation;
Ibero-American Network of the Nano-Bio-Info-Cogno Convergent Technologies Ibero-NBIC Network	Ibero-American Network of the Nano-Bio-Info-Cogno Convergent Technologies Ibero-NBIC Network;
IBM Ph D  Fellowship	IBM Ph D  Fellowship;IBM Microelectronics;IBM Canada Ltd;IBM;
ICIST Research Institute	ICIST Research Institute;
ICIST-IST Research Institute	ICIST-IST Research Institute;
ICON Foundation	ICON Foundation;
ICREA	ICREA;
European Commission under the Seventh Framework Programme  Intelligent Cooperative Sensing for Improved Traffic efficiency  ICSI  project	European Commission under the Seventh Framework Programme  Intelligent Cooperative Sensing for Improved Traffic efficiency  ICSI  project;
Daegu Gyeongbuk Institute of Science and Technology Research and Development Program of the Ministry of Science ICT & Future Planning of Korea	National Research Foudation of Korea - Ministry of Science ICT and Future Planning;National ICT Australia  NICTA;Ministry of Science ICT and Future Planning  MSIP;EU ICT Iot est project;Daegu Gyeongbuk Institute of Science and Technology Research and Development Program of the Ministry of Science ICT & Future Planning of Korea;Australian Research Council through the ICT Centre of Excellence program;
Institute for Critical Technology and Applied Science  ICTAS  of Virginia Tech	Institute for Critical Technology and Applied Science  ICTAS  of Virginia Tech;
PN II ID_592/	PN II ID_592/;
IDB  Islamic Development Bank	IDB  Islamic Development Bank;
iDEaS	iDEaS project;iDEaS;
Romanian IDEI	Romanian IDEI;
Instituto de Estudios Riojanos  IER  Banco Santander	Instituto de Estudios Riojanos  IER  Banco Santander;
